onset_time,offset_time,key,degree,quality,inversion,roman_numeral_notation
434.0,436.0,E,2,m,1,ii6
436.0,438.0,E,4,M,0,IV
438.0,440.0,E,5,M,0,V
440.0,442.0,E,1,M,0,I
442.0,444.0,E,5,D7,0,V7
444.0,446.0,E,1,M,0,I
446.0,448.0,E,5,D7,0,V7
448.0,450.0,E,1,M,0,I
450.0,452.0,E,5,D7,0,V7
452.0,454.0,E,1,M,0,I
454.0,456.0,E,5,D7,0,V7
456.0,468.0,E,1,M,0,I
468.0,476.0,C,3,m,0,iii
476.0,480.0,C,1,M,0,I
480.0,484.0,C,2,m,0,ii
484.0,492.0,C,5,D7,0,V7
492.0,504.0,A-,1,M,0,I
504.0,516.0,A-,5,D7,0,V7
516.0,528.0,A-,5/6,D7,0,V7/vi
528.0,536.0,f,1,m,2,i64
536.0,544.0,f,7/5,d7,2,vii-43/V
544.0,554.0,f,5,M,0,V
554.0,558.0,F,1,M,0,I
558.0,560.0,F,5,D7,0,V7
560.0,562.0,F,1,M,0,I
562.0,564.0,F,5,D7,3,V42
564.0,566.0,F,1,M,1,I6
566.0,568.0,F,5,D7,1,V65
568.0,569.0,F,1,M,0,I
569.0,570.0,F,2,m,1,ii6
570.0,571.0,F,1,M,2,I64
571.0,572.0,F,5,D7,0,V7
572.0,576.0,F,1,M,0,I
576.0,578.0,F,5,D7,3,V42
578.0,580.0,F,1,M,1,I6
580.0,582.0,F,5,D7,1,V65
582.0,584.0,F,1,M,0,I
584.0,586.0,d,5,D7,3,V42
586.0,588.0,d,1,m,1,i6
588.0,590.0,d,5,D7,1,V65
590.0,591.0,d,1,m,0,i
591.0,592.0,d,2,d,1,ii-6
592.0,593.0,d,1,m,2,i64
593.0,594.0,d,5,M,0,V
594.0,598.0,d,1,m,0,i
598.0,602.0,F,2,m,0,ii
602.0,606.0,F,5,M,0,V
606.0,610.0,F,1,M,0,I
610.0,612.0,F,7,d7,1,vii-65
612.0,614.0,F,1,M,1,I6
614.0,616.0,d,7,d7,1,vii-65
616.0,620.0,d,1,m,0,i
620.0,622.0,d,7,d7,1,vii-65
622.0,624.0,d,1,m,1,i6
624.0,626.0,a,7,d7,3,vii-42
626.0,630.0,a,1,m,0,i
630.0,632.0,a,7,d7,1,vii-65
632.0,634.0,a,1,m,1,i6
634.0,636.0,a,7/5,d7,2,vii-43/V
636.0,638.0,a,5,M,0,V
638.0,640.0,a,5,D7,0,V7
640.0,642.0,a,1,m,2,i64
642.0,644.0,a,5,D7,0,V7
644.0,646.0,a,5,M,0,V
646.0,648.0,a,5,D7,0,V7
648.0,650.0,a,1,m,2,i64
650.0,652.0,a,5,D7,0,V7
652.0,656.0,a,5,M,0,V
656.0,660.0,A,4,M,1,IV6
660.0,674.0,A,5,D7,0,V7
674.0,676.0,A,6,m,0,vi
676.0,678.0,A,5/5,D7,1,V65/V
678.0,682.0,A,5,D7,0,V7
682.0,686.0,A,1,M,0,I
686.0,690.0,A,2,m,0,ii
690.0,698.0,A,5,D7,0,V7
698.0,702.0,A,1,M,0,I
702.0,704.0,A,5,D7,0,V7
704.0,706.0,A,1,M,0,I
706.0,708.0,A,5,D7,3,V42
708.0,710.0,A,1,M,1,I6
710.0,712.0,A,5,D7,1,V65
712.0,713.0,A,1,M,0,I
713.0,714.0,E,5,D7,1,V7
714.0,715.0,E,1,M,0,I
715.0,716.0,E,5,D7,1,V7
716.0,717.0,E,1,M,0,I
717.0,718.0,E,5,D7,1,V7
718.0,721.0,E,1,M,0,I
721.0,722.0,A,5/4,D7,2,V43/IV
722.0,723.0,A,4,M,0,IV
723.0,724.0,A,5/4,D7,2,V43/IV
724.0,725.0,A,4,M,0,IV
725.0,726.0,A,5/4,D7,2,V43/IV
726.0,729.0,A,4,M,0,IV
729.0,730.0,A,5,D7,2,V43
730.0,731.0,A,1,M,0,I
731.0,732.0,A,5,D7,2,V43
732.0,733.0,A,1,M,0,I
733.0,734.0,A,5,D7,2,V43
734.0,738.0,A,1,M,0,I
738.0,742.0,A,5,D7,3,V42
742.0,746.0,A,1,M,0,I
746.0,750.0,A,5,D7,3,V42
750.0,754.0,A,1,M,1,I6
754.0,756.0,A,5,D7,0,V7
756.0,757.0,A,1,M,2,I64
757.0,758.0,A,5/5,D7,3,V42/V
758.0,760.0,A,5,D7,0,V7
760.0,761.0,A,1,M,2,I64
761.0,762.0,A,5/5,D7,3,V42/V
762.0,770.0,a,5,M,0,V
770.0,774.0,a,5,D7,3,V42
774.0,778.0,a,1,m,1,i6
778.0,784.0,a,7,d7,0,vii-7
784.0,786.0,a,5,D7,1,V65
786.0,790.0,a,1,m,0,i
790.0,793.0,a,7,d7,1,vii-65
793.0,794.0,C,5,D7,1,V65
794.0,798.0,C,1,M,0,I
798.0,801.0,C,7,d7,1,vii-65
801.0,802.0,E-,5,D7,1,V65
802.0,806.0,E-,1,M,0,I
806.0,808.0,E-,7/6,d7,2,vii-43/vi
808.0,810.0,E-,5/3,D7,1,V65/iii
810.0,812.0,a,5/3,D7,0,V7/III
812.0,814.0,a,5,D7,0,V7
814.0,816.0,a,5/4,D7,0,V7/iv
816.0,818.0,a,5/2,D7,1,V65/ii
818.0,820.0,a,2,h7,0,ii=7
820.0,837.5,a,7,d7,1,vii-65
837.5,838.0,a,5,M,0,V
838.0,842.0,A,1,M,1,I6
842.0,844.0,A,5/5,D7,2,V43/V
844.0,846.0,A,5,D7,0,V7
846.0,850.0,A,1,M,0,I
850.0,852.0,A,5/5,D7,2,V43/V
852.0,854.0,A,5,D7,0,V7
854.0,858.0,A,1,M,0,I
858.0,862.0,A,5,D7,0,V7
862.0,866.0,A,1,M,0,I
866.0,870.0,A,5,D7,3,V42
870.0,874.0,A,1,M,1,I6
874.0,876.0,A,4,M,0,IV
876.0,878.0,A,5,M,0,V
878.0,880.0,A,1,M,0,I
880.0,882.0,A,4,M,1,IV6
882.0,884.0,A,1,M,0,I
884.0,886.0,A,5,D7,0,V7
886.0,888.0,A,1,M,0,I
888.0,890.0,A,5,D7,1,V65
890.0,892.0,A,1,M,0,I
892.0,894.0,A,5,D7,0,V7
894.0,905.5,A,1,M,0,I
905.5,910.0,C,1,M,0,I
910.0,914.0,C,2,m,0,ii
914.0,922.0,C,5,D7,0,V7
922.0,934.0,A-,1,M,0,I
934.0,946.0,A-,5,D7,0,V7
946.0,958.0,A-,5/6,D7,0,V7/vi
958.0,966.0,f,1,m,2,i64
966.0,974.0,f,7/5,d7,2,vii-43/V
974.0,984.0,f,5,M,0,V
984.0,988.0,F,1,M,0,I
988.0,990.0,F,5,D7,0,V7
990.0,992.0,F,1,M,0,I
992.0,994.0,F,5,D7,3,V42
994.0,996.0,F,1,M,1,I6
996.0,998.0,F,5,D7,1,V65
998.0,999.0,F,1,M,0,I
999.0,1000.0,F,2,m,1,ii6
1000.0,1001.0,F,1,M,2,I64
1001.0,1002.0,F,5,D7,0,V7
1002.0,1006.0,F,1,M,0,I
1006.0,1008.0,F,5,D7,3,V42
1008.0,1010.0,F,1,M,1,I6
1010.0,1012.0,F,5,D7,1,V65
1012.0,1014.0,F,1,M,0,I
1014.0,1016.0,d,5,D7,3,V42
1016.0,1018.0,d,1,m,1,i6
1018.0,1020.0,d,5,D7,1,V65
1020.0,1021.0,d,1,m,0,i
1021.0,1022.0,d,2,d,1,ii-6
1022.0,1023.0,d,1,m,2,i64
1023.0,1024.0,d,5,M,0,V
1024.0,1028.0,d,1,m,0,i
1028.0,1032.0,F,2,m,0,ii
1032.0,1036.0,F,5,M,0,V
1036.0,1040.0,F,1,M,0,I
1040.0,1042.0,F,7,d7,1,vii-65
1042.0,1044.0,F,1,M,1,I6
1044.0,1046.0,d,7,d7,1,vii-65
1046.0,1050.0,d,1,m,0,i
1050.0,1052.0,d,7,d7,1,vii-65
1052.0,1054.0,d,1,m,1,i6
1054.0,1056.0,a,7,d7,3,vii-42
1056.0,1060.0,a,1,m,0,i
1060.0,1062.0,a,7,d7,1,vii-65
1062.0,1064.0,a,1,m,1,i6
1064.0,1066.0,a,7/5,d7,2,vii-43/V
1066.0,1068.0,a,5,M,0,V
1068.0,1070.0,a,5,D7,0,V7
1070.0,1072.0,a,1,m,2,i64
1072.0,1074.0,a,5,D7,0,V7
1074.0,1076.0,a,5,M,0,V
1076.0,1078.0,a,5,D7,0,V7
1078.0,1080.0,a,1,m,2,i64
1080.0,1082.0,a,5,D7,0,V7
1082.0,1086.0,a,5,M,0,V
1086.0,1090.0,A,4,M,1,IV6
1090.0,1104.0,A,5,D7,0,V7
1104.0,1106.0,A,6,m,0,vi
1106.0,1108.0,A,5/5,D7,1,V65/V
1108.0,1112.0,A,5,D7,0,V7
1112.0,1116.0,A,1,M,0,I
1116.0,1120.0,A,2,m,0,ii
1120.0,1128.0,A,5,D7,0,V7
1128.0,1132.0,A,1,M,0,I
1132.0,1134.0,A,5,D7,0,V7
1134.0,1136.0,A,1,M,0,I
1136.0,1138.0,A,5,D7,3,V42
1138.0,1140.0,A,1,M,1,I6
1140.0,1142.0,A,5,D7,1,V65
1142.0,1143.0,A,1,M,0,I
1143.0,1144.0,E,5,D7,1,V7
1144.0,1145.0,E,1,M,0,I
1145.0,1146.0,E,5,D7,1,V7
1146.0,1147.0,E,1,M,0,I
1147.0,1148.0,E,5,D7,1,V7
1148.0,1151.0,E,1,M,0,I
1151.0,1152.0,A,5/4,D7,2,V43/IV
1152.0,1153.0,A,4,M,0,IV
1153.0,1154.0,A,5/4,D7,2,V43/IV
1154.0,1155.0,A,4,M,0,IV
1155.0,1156.0,A,5/4,D7,2,V43/IV
1156.0,1159.0,A,4,M,0,IV
1159.0,1160.0,A,5,D7,2,V43
1160.0,1161.0,A,1,M,0,I
1161.0,1162.0,A,5,D7,2,V43
1162.0,1163.0,A,1,M,0,I
1163.0,1164.0,A,5,D7,2,V43
1164.0,1168.0,A,1,M,0,I
1168.0,1172.0,A,5,D7,3,V42
1172.0,1176.0,A,1,M,0,I
1176.0,1180.0,A,5,D7,3,V42
1180.0,1184.0,A,1,M,1,I6
1184.0,1186.0,A,5,D7,0,V7
1186.0,1187.0,A,1,M,2,I64
1187.0,1188.0,A,5/5,D7,3,V42/V
1188.0,1190.0,A,5,D7,0,V7
1190.0,1191.0,A,1,M,2,I64
1191.0,1192.0,A,5/5,D7,3,V42/V
1192.0,1200.0,a,5,M,0,V
1200.0,1204.0,a,5,D7,3,V42
1204.0,1208.0,a,1,m,1,i6
1208.0,1214.0,a,7,d7,0,vii-7
1214.0,1216.0,a,5,D7,1,V65
1216.0,1220.0,a,1,m,0,i
1220.0,1223.0,a,7,d7,1,vii-65
1223.0,1224.0,C,5,D7,1,V65
1224.0,1228.0,C,1,M,0,I
1228.0,1231.0,C,7,d7,1,vii-65
1231.0,1232.0,E-,5,D7,1,V65
1232.0,1236.0,E-,1,M,0,I
1236.0,1238.0,E-,7/6,d7,2,vii-43/vi
1238.0,1240.0,E-,5/3,D7,1,V65/iii
1240.0,1242.0,a,5/3,D7,0,V7/III
1242.0,1244.0,a,5,D7,0,V7
1244.0,1246.0,a,5/4,D7,0,V7/iv
1246.0,1248.0,a,5/2,D7,1,V65/ii
1248.0,1250.0,a,2,h7,0,ii=7
1250.0,1267.5,a,7,d7,1,vii-65
1267.5,1268.0,a,5,M,0,V
1268.0,1272.0,A,1,M,1,I6
1272.0,1274.0,A,5/5,D7,2,V43/V
1274.0,1276.0,A,5,D7,0,V7
1276.0,1280.0,A,1,M,0,I
1280.0,1282.0,A,5/5,D7,2,V43/V
1282.0,1284.0,A,5,D7,0,V7
1284.0,1288.0,A,1,M,0,I
1288.0,1292.0,A,5,D7,0,V7
1292.0,1296.0,A,1,M,0,I
1296.0,1300.0,A,5,D7,3,V42
1300.0,1304.0,A,1,M,1,I6
1304.0,1306.0,A,4,M,0,IV
1306.0,1308.0,A,5,M,0,V
1308.0,1310.0,A,1,M,0,I
1310.0,1312.0,A,4,M,1,IV6
1312.0,1314.0,A,1,M,0,I
1314.0,1316.0,A,5,D7,0,V7
1316.0,1318.0,A,1,M,0,I
1318.0,1320.0,A,5,D7,1,V65
1320.0,1322.0,A,1,M,0,I
1322.0,1324.0,A,5,D7,0,V7
1324.0,1335.5,A,1,M,0,I
